INFO 2025-05-29 16:18:35,555 autoreload 16980 17076 Watching for file changes with StatReloader
DEBUG 2025-05-29 16:18:35,556 autoreload 16980 17076 Waiting for apps ready_event.
DEBUG 2025-05-29 16:18:35,790 autoreload 16980 17076 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-29 16:18:35,827 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,827 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\api_django\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,827 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,828 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\djoser\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,828 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,828 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2025-05-29 16:18:35,828 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\api_django\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\djoser\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\users\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,829 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,830 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\aichat\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,830 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,830 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,830 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\venv\lib\site-packages\social_django\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:35,830 autoreload 16980 17076 Watching dir D:\OrderFlow-API-main\OrderFlow-API-main\api\youmoney_app\locale with glob **/*.mo.
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\asyncio\threads.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\warnings.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\email\mime\message.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\unittest\main.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\yoomoney\history\history.py first seen with mtime 1748524192.0107443
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1748524247.2674131
DEBUG 2025-05-29 16:18:36,100 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1748524246.400391
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py first seen with mtime 1748524118.6782446
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1748524247.2333941
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1748524118.6632464
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\drf_yasg\inspectors\query.py first seen with mtime 1748524289.952284
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\coreapi\codecs\download.py first seen with mtime 1748524268.7192266
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1748524265.4987268
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1748524247.3113947
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\redis\commands\sentinel.py first seen with mtime 1748524221.8393948
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\DLLs\_overlapped.pyd first seen with mtime 1659380398.0
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1748524247.175439
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\asyncio\exceptions.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\importlib\metadata\_itertools.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,101 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\pkg_resources\_vendor\packaging\version.py first seen with mtime 1748524118.6802616
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\_base.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\asyncio\subprocess.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\click\core.py first seen with mtime 1748524228.3444548
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File C:\Users\eseev\AppData\Local\Programs\Python\Python310\Lib\concurrent\__init__.py first seen with mtime 1659380368.0
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1748524247.1744196
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1748524244.1651888
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1748524247.188394
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\requests\models.py first seen with mtime 1748524221.544398
DEBUG 2025-05-29 16:18:36,102 autoreload 16980 17076 File D:\OrderFlow-API-main\OrderFlow-API-main\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1748524247.219395
